,DATE DE CLASSEMENT,TYPOLOGIE ÉTABLISSEMENT,CLASSEMENT,CATÉGORIE,MENTION (villages de vacances),NOM COMMERCIAL,ADRESSE,CODE POSTAL,COMMUNE,SITE INTERNET,TYPE DE SÉJOUR,CAPACITÉ D'ACCUEIL (PERSONNES),NOMBRE DE CHAMBRES,NOMBRE D'EMPLACEMENTS,NOMBRE D'UNITES D'HABITATION (résidences de tourisme),NOMBRE DE LOGEMENTS (villages de vacances),classement prorogé
17667,18/04/2023,HÔTEL DE TOURISME,4 étoiles,0,0,PADAM HÔTEL,9 rue Jean Giraudoux,75116,PARIS 16E ARRONDISSEMENT,0,0,68,34,0,0,0,non
17668,01/09/2023,HÔTEL DE TOURISME,4 étoiles,0,0,PADJA HÔTEL & SPA,5 rue Aristide Boucicaud,56000,VANNES,0,0,166,83,0,0,0,non
17669,17/03/2020,HÔTEL DE TOURISME,3 étoiles,0,0,PALM HOTEL,8 b rue Maccarani,06000,NICE,0,0,35,16,0,0,0,non
17670,17/10/2022,HÔTEL DE TOURISME,3 étoiles,0,0,PANAM HÔTEL,208 rue des Pyrénées,75020,PARIS 20E ARRONDISSEMENT,http://www.superhotelparis.fr,0,45,31,0,0,0,non
17671,01/12/2022,CAMPING,2 étoiles,TOURISME,0,PARC CAMPING DE PRAMOUSQUIER,Chemin de la Faverolle,83980,LE LAVANDOU,http://www.campingpramousquier.com,0,495,0,165,0,0,non
17672,22/09/2022,CAMPING,1 étoile,LOISIRS,0,PARC CAMPING DU LAC,camping du lac,12290,0,https://www.campingdulacaveyron.com/,0,471,0,157,0,0,non
17673,10/03/2023,HÔTEL DE TOURISME,3 étoiles,0,0,PARC HÔTEL,rue du vieux château,62220,CARVIN,0,0,111,50,0,0,0,non
17674,14/11/2022,HÔTEL DE TOURISME,3 étoiles,0,0,PARC HÔTEL ALSACE RESTAURANT & SPA,39 rue du général de gaulle,67710,0,0,0,58,27,0,0,0,non
17675,12/03/2021,HÔTEL DE TOURISME,3 étoiles,0,0,PARC HÔTEL PARIS,60 rue Beaunier,75014,PARIS 14E ARRONDISSEMENT,0,0,50,24,0,0,0,non
17676,25/02/2022,HÔTEL DE TOURISME,3 étoiles,0,0,PARC HÔTEL POMPADOUR,1 place du Vieux Lavoir,19230,0,0,0,33,15,0,0,0,non
17677,02/12/2022,PARC RÉSIDENTIEL DE LOISIRS,4 étoiles,0,0,PARC RESIDENTIEL DE LOISIRS DEFIPLANET',domaine de dienné,86410,DIENNÉ,http://www.defiplanet.com/,0,371,0,68,0,0,non
17678,20/07/2023,PARC RÉSIDENTIEL DE LOISIRS,3 étoiles,0,0,PARC RESIDENTIEL DE LOISIRS DOMAINE DE L'ENTRELACS,LA GRANDE GUINCHELIERE,49280,LA TESSOUALLE,https://domainedelentrelacs.fr/,0,36,0,10,0,0,non
17679,07/09/2023,PARC RÉSIDENTIEL DE LOISIRS,4 étoiles,0,0,PARC RESIDENTIEL DE LOISIRS DU CHÊNE VERT,travers du rieutort,81140,0,http://www.campingduchenevert.com/index.php,0,70,0,14,0,0,non
17680,27/07/2023,PARC RÉSIDENTIEL DE LOISIRS,1 étoile,0,0,PARC RESIDENTIEL DE LOISIRS LA ROSSIGNOLERIE,5 route de Villesavoir,41150,0,www.larossignolerie.com,0,21,0,7,0,0,non
17681,22/06/2023,PARC RÉSIDENTIEL DE LOISIRS,3 étoiles,0,0,PARC RESIDENTIEL DE LOISIRS VILLAGE DE GÎTES STEREDEN,Route du Radôme,22560,0,https://www.stereden.com/,0,81,0,27,0,0,non
17682,20/09/2022,PARC RÉSIDENTIEL DE LOISIRS,5 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS  VILLA OCCITANA,108 Route d'Aigues Vives,30420,CALVISSON,https://villaoccitana.com/,0,30,0,10,0,0,non
17683,13/07/2022,PARC RÉSIDENTIEL DE LOISIRS,4 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS AUBERGE ET CHALETS DE LA WORMSA,72 rue de l'Altenhof,68380,METZERAL,0,0,96,0,32,0,0,non
17684,16/03/2023,PARC RÉSIDENTIEL DE LOISIRS,3 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS AUVERGNE CHALETS SANCY,"581 Route de la tour d'Auvergne, LA GARDE",63810,BAGNOLS,0,0,20,0,5,0,0,non
17685,19/06/2023,PARC RÉSIDENTIEL DE LOISIRS,4 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS AUX ÉTANGS DU BOS,0,24260,0,0,0,54,0,12,0,0,non
17686,11/07/2022,PARC RÉSIDENTIEL DE LOISIRS,2 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS AZUREVA SIGEAN,1 rue de la Clauze,11130,SIGEAN,0,0,333,0,64,0,0,non
17687,19/06/2020,PARC RÉSIDENTIEL DE LOISIRS,2 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS CABANES DES VOLCANS,La Stèle,63680,LA TOUR D'AUVERGNE,https://www.cabanesdesvolcans.fr,0,21,0,6,0,0,non
17688,10/07/2023,PARC RÉSIDENTIEL DE LOISIRS,3 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS DOMAINE DE GUILLALMES,Gaillardel,47500,FUMEL,https://www.domainedeguillalmes.com/,0,84,0,28,0,0,non
17689,25/05/2023,PARC RÉSIDENTIEL DE LOISIRS,4 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS DOMAINE DE LA NOGUIÈRE,1617 Route de Frejus,83490,LE MUY,0,0,1029,0,343,0,0,non
17690,09/09/2021,PARC RÉSIDENTIEL DE LOISIRS,5 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS DOMAINE DE SÉVENIER,Domaine de Sévenier,07150,LAGORCE,0,0,240,0,56,0,0,non
17691,18/11/2019,PARC RÉSIDENTIEL DE LOISIRS,3 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS DOMAINE DES REFLETS BLEUS,Domaine des Reflets Bleus,60170,0,https://www.domainedesrefletsbleus.com,0,29,0,10,0,0,non
17692,26/05/2023,PARC RÉSIDENTIEL DE LOISIRS,3 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS DOMAINE LE CASTAGNÉ,910 chemin de naréoux,32000,AUCH,https://www.domainelecastagne.com/,0,18,0,6,0,0,non
